Player,total_events,passes,successful_passes,shots,recoveries,losses,pass_success_rate,impact_score,TeamOfPlayer,rating_0_10
Player21,103,66,66,1,8,15,1.0,62.0,Away,10.0
Player16,85,40,40,0,21,9,1.0,60.7,Away,9.79
Player15,83,31,31,0,22,12,1.0,49.6,Away,7.99
Player20,63,35,35,0,10,4,1.0,45.2,Away,7.27
Player17,93,39,39,0,16,17,1.0,42.6,Away,6.85
Player25,54,19,19,0,20,9,1.0,38.2,Away,6.14
Player22,76,32,32,0,12,11,1.0,36.8,Away,5.91
Player19,103,39,39,1,14,23,1.0,34.400000000000006,Away,5.52
Player18,64,24,24,0,9,15,1.0,19.5,Away,3.1
Player27,24,12,12,1,4,2,1.0,17.6,Away,2.79
Player23,32,13,13,1,4,4,1.0,16.2,Away,2.56
Player28,17,6,6,1,1,2,1.0,7.1,Away,1.09
Player24,18,5,5,1,0,2,1.0,4.6,Away,0.68
Player26,13,1,1,0,2,3,1.0,0.40000000000000036,Away,0.0
Player12,82,53,53,1,8,6,1.0,59.8,Home,10.0
Player6,95,48,48,0,12,8,1.0,56.4,Home,9.36
Player7,99,52,52,2,11,14,1.0,55.7,Home,9.22
Player3,84,41,41,0,16,8,1.0,55.4,Home,9.17
Player2,89,44,44,0,18,15,1.0,53.0,Home,8.71
Player4,81,47,47,0,11,10,1.0,51.5,Home,8.43
Player5,63,34,34,2,10,8,1.0,43.4,Home,6.89
Player8,92,31,31,4,13,17,1.0,38.1,Home,5.89
Player11,54,17,17,0,19,13,1.0,29.9,Home,4.34
Player9,56,19,19,4,5,6,1.0,27.3,Home,3.84
Player10,61,28,28,4,3,12,1.0,26.1,Home,3.62
Player1,28,8,8,0,7,7,1.0,10.1,Home,0.59
Player13,11,7,7,0,0,0,1.0,7.0,Home,0.0
Player14,22,8,8,1,2,5,1.0,7.0,Home,0.0
