Player,total_events,passes,successful_passes,shots,recoveries,losses,pass_success_rate,impact_score,TeamOfPlayer,rating_0_10
Player21,103,66,66,1,8,15,1.0,62.0,Away,10.0
Player16,85,40,40,0,21,9,1.0,60.7,Away,9.79
Player15,83,31,31,0,22,12,1.0,49.6,Away,7.99
Player20,63,35,35,0,10,4,1.0,45.2,Away,7.27
Player17,93,39,39,0,16,17,1.0,42.6,Away,6.85
Player12,82,53,53,1,8,6,1.0,59.8,Home,10.0
Player6,95,48,48,0,12,8,1.0,56.4,Home,9.36
Player7,99,52,52,2,11,14,1.0,55.7,Home,9.22
Player3,84,41,41,0,16,8,1.0,55.4,Home,9.17
Player2,89,44,44,0,18,15,1.0,53.0,Home,8.71
